Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Fwd IAT Mean,Bwd IAT Mean,Packet Length Mean,SYN Flag Count,ACK Flag Count,Label
232,1,1,0,0,0.0,8620.6896551724,232.0,0.0,0.0,0.0,0,1,0
31226,2,2,68,380,14347.0185102158,128.0983795555,10408.6666666667,3.0,4.0,96.4,0,0,0
99951883,9,7,317,11595,119.1773446,0.160077024,6663458.867,12500000.0,9423.5,700.7058824,0,1,1
30894,4,2,140,172,10099.04836,194.2124684,6178.8,5737.0,49.0,49.57142857,0,0,0
48943,2,2,88,166,5189.7104795374,81.7277240872,16314.3333333333,3.0,3.0,59.6,0,0,0
23728,1,1,56,84,5900.20229265,84.2886041807,23728.0,0.0,0.0,65.3333333333,0,0,0
3,2,0,4,0,1333333.333,666666.6667,3.0,3.0,0.0,2.0,0,0,0
141,2,0,0,0,0.0,14184.39716,141.0,141.0,0.0,0.0,0,1,0
229,2,0,12,0,52401.7467248908,8733.6244541485,229.0,229.0,0.0,6.0,0,1,0
176084,10,8,559,5437,34051.92976,102.2239386,10357.88235,19564.88889,13511.57143,315.5789474,0,0,0
18845,2,2,12,0,636.77368,212.2578933,6281.666667,481.0,18803.0,3.6,0,0,1
117556753,219,189,2325,375634,3215.1194240624,3.47066408,288837.230958231,539251.160550459,596125.324468085,924.1051344743,0,0,0
274213,6,5,356,3782,15090.4588768585,40.1148012676,27421.3,54842.6,47169.5,344.8333333333,0,0,0
11037728,5,0,30,0,2.717950651,0.452991775,2759432.0,2759432.0,0.0,6.0,0,1,1
48252,2,2,64,160,4642.29462,82.89811821,16084.0,3.0,3.0,51.2,0,0,0
31261,2,2,88,344,13819.1356642462,127.9549598541,10420.3333333333,4.0,49.0,95.2,0,0,0
30449,1,1,52,113,5418.8971723209,65.6836020887,30449.0,0.0,0.0,72.3333333333,0,0,0
228,2,2,140,396,2350877.193,17543.85965,76.0,4.0,47.0,121.2,0,0,0
353346,3,4,26,11607,32922.40467,19.81061056,58891.0,314.0,117765.3333,1454.125,0,0,1
600,1,1,47,289,560000.0,3333.333333,600.0,0.0,0.0,127.6666667,0,0,0
95325,1,1,0,0,0.0,20.98085497,95325.0,0.0,0.0,0.0,0,1,0
60855,1,1,0,0,0.0,32.86500698,60855.0,0.0,0.0,0.0,0,1,0
73917,3,4,442,872,17776.69548,94.70081307,12319.5,25082.0,16863.33333,164.25,0,0,0
12672,2,0,12,0,946.969697,157.8282828,12672.0,12672.0,0.0,6.0,0,1,0
60912096,16,12,1556,2842,72.20240788,0.459678813,2256003.556,4060806.4,5532799.818,151.6551724,0,0,0
761211,9,10,703,3950,6112.62843,24.96022785,42289.5,83209.5,74000.66667,232.65,0,0,0
83813038,7,5,329,11595,142.2690346,0.143175815,7619367.091,13900000.0,36350.5,917.2307692,0,1,1
871492,7,2,11607,26,13348.37268,10.32711717,108936.5,145248.6667,3.0,1163.3,0,0,0
546066,3,5,26,11607,21303.28568,14.65024374,78009.42857,295.5,136505.75,1292.555556,0,0,1
474,3,1,43,6,103375.52742616,8438.8185654009,158.0,168.5,0.0,11.0,0,1,0
217,2,2,64,96,737327.1889,18433.17972,72.33333333,3.0,3.0,38.4,0,0,0
4973746,5,1,123,46,33.97841386,1.20633422,994749.2,1243436.5,0.0,30.71428571,1,1,0
160364,1,1,43,329,2319.7226310145,12.4716270485,160364.0,0.0,0.0,138.3333333333,0,0,0
33,1,1,0,0,0.0,60606.06061,33.0,0.0,0.0,0.0,0,1,0
173,2,2,76,176,1456647.39884393,23121.387283237,57.6666666667,3.0,3.0,58.0,0,0,0
64753,1,1,59,141,3088.659985,30.88659985,64753.0,0.0,0.0,86.33333333,0,0,0
2,2,0,31,0,15500000.0,1000000.0,2.0,2.0,0.0,20.66666667,1,1,0
69321581,7,7,312,11595,171.7646919,0.20195731,5332429.308,11500000.0,11600000.0,794.2,0,0,1
4964296,3,1,31,0,6.2445913781,0.8057537262,1654765.33333333,2482148.0,0.0,6.2,0,1,0
90,1,1,0,0,0.0,22222.22222,90.0,0.0,0.0,0.0,0,1,0
